CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-12-11,2020,Q4,12,11,China,2020-12-13,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,5000,5070,No,-,-,2020-12-15,2020,Q4,12,15
"Coffee, tea, mate and spices",2020-12-11,2020,Q4,12,11,India,2020-12-11,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,432,636,No,-,-,2020-12-13,2020,Q4,12,13
"Coffee, tea, mate and spices",2020-12-11,2020,Q4,12,11,India,2020-12-09,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,8000,8112,No,-,-,2020-12-23,2020,Q4,12,23
"Coffee, tea, mate and spices",2020-12-11,2020,Q4,12,11,India,2020-12-09,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3500,3549,No,-,-,2020-12-13,2020,Q4,12,13
"Coffee, tea, mate and spices",2020-12-14,2020,Q4,12,14,United Kingdom,2020-12-14,9012100,Not decaffeinated,No,-,No,-,No,-,No,-,1,4,No,-,-,,2020,Q4,12,14
"Coffee, tea, mate and spices",2020-12-14,2020,Q4,12,14,United Kingdom,2020-12-14,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",No,-,No,-,No,-,No,-,1,4,No,-,-,,2020,Q4,12,14
"Coffee, tea, mate and spices",2020-12-14,2020,Q4,12,14,United Kingdom,2020-12-14,9093200,Crushed or ground,No,-,No,-,No,-,No,-,0,4,No,-,-,,2020,Q4,12,14
"Coffee, tea, mate and spices",2020-12-14,2020,Q4,12,14,United Kingdom,2020-12-16,9012100,Not decaffeinated,No,-,No,-,No,-,No,-,1,73,No,-,-,,2020,Q4,12,14
"Coffee, tea, mate and spices",2020-12-14,2020,Q4,12,14,United Kingdom,2020-12-16,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",No,-,No,-,No,-,No,-,1,73,No,-,-,,2020,Q4,12,14
"Coffee, tea, mate and spices",2020-12-14,2020,Q4,12,14,United Kingdom,2020-12-16,9093200,Crushed or ground,No,-,No,-,No,-,No,-,0,73,No,-,-,,2020,Q4,12,14
"Coffee, tea, mate and spices",2020-12-15,2020,Q4,12,15,United Kingdom,2020-12-16,9012100,Not decaffeinated,No,-,No,-,No,-,No,-,1,25,No,-,-,,2020,Q4,12,15
"Coffee, tea, mate and spices",2020-12-15,2020,Q4,12,15,United Kingdom,2020-12-16,9093200,Crushed or ground,No,-,No,-,No,-,No,-,1,25,No,-,-,,2020,Q4,12,15
"Coffee, tea, mate and spices",2020-12-16,2020,Q4,12,16,China,2020-12-26,9024000,Other black tea (fermented) and other partly fermented tea,No,-,No,-,No,-,No,-,20800,21080,No,-,-,,2020,Q4,12,16
"Coffee, tea, mate and spices",2020-12-16,2020,Q4,12,16,India,2020-09-04,9042110,Sweet peppers,Yes,Satisfactory,Yes,Satisfactory,Yes,Not satisfactory,No,-,510,536,Yes,-,Hygiene failure,2020-12-16,2020,Q4,12,16
"Coffee, tea, mate and spices",2020-12-16,2020,Q4,12,16,India,2020-09-04,904220090,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Not satisfactory,No,-,4000,4080,Yes,-,Hygiene failure,2020-12-16,2020,Q4,12,16
"Coffee, tea, mate and spices",2020-12-19,2020,Q4,12,19,India,2020-12-15,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),No,-,No,-,No,-,No,-,31,99,No,-,-,,2020,Q4,12,19
