countrycode,countryname,year,SH_UHC_NOP1_CG,SH_UHC_NOP1_TO,SH_UHC_NOP1_ZG,SH_UHC_NOP1_ZS,SH_UHC_NOP2_CG,SH_UHC_NOP2_TO,SH_UHC_NOP2_ZG,SH_UHC_NOP2_ZS,SH_UHC_OOPC_10_TO,SH_UHC_OOPC_10_ZS,SH_UHC_OOPC_25_TO,SH_UHC_OOPC_25_ZS,SH_UHC_SRVS_CV_XD
CHE,Switzerland,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456000.0,19.704700469970703,494000.0,6.680240154266357,NaN
CHL,Chile,1997.0,3.074000123888E-4,7000.0,0.0161799993366003,0.0479310005903244,0.0026680000592023,57000.0,0.0860700011253357,0.3856503069400787,1454000.0,9.894015312194824,285000.0,1.9401479959487915,NaN
CHL,Chile,2006.0,0.0072820000350475,107000.0,0.3832600116729736,0.6534706950187683,0.0264823995530605,422000.0,0.8542699813842773,2.5880661010742188,5398000.0,33.07389068603516,1880000.0,11.51747989654541,NaN
CHN,China,1995.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.97E7,5.782631874084473,1.34E7,1.1123019456863403,NaN
CHN,China,2000.0,0.0291042998433113,3.5E7,1.5318100452423096,2.7691729068756104,0.0585490018129348,2.75E7,1.8886799812316888,2.17654800415039,1.54E8,12.23231029510498,3.47E7,2.7476229667663574,NaN
CHN,China,2002.0,0.0262679997831583,3.92E7,1.3825299739837646,3.061224937438965,0.0630223974585533,3.89E7,2.032979965209961,3.0390419960021973,2.12E8,16.58163070678711,5.39E7,4.209184169769287,NaN
CHN,China,2007.0,0.0122162997722625,2.8E7,0.6429600119590759,2.127423048019409,0.0448513999581337,4.07E7,1.4468200206756592,3.088373899459839,2.33E8,17.71470069885254,6.27E7,4.755026817321777,NaN
CIV,Cote d Ivoire,1998.0,0.0380228981375694,575000.0,2.001199960708618,3.621270895004273,0.0852895975112915,632000.0,2.7512800693511963,3.977405071258545,4243000.0,26.71169090270996,978000.0,6.154425144195557,NaN
CIV,Cote d Ivoire,2002.0,0.0160469003021717,425000.0,0.844569981098175,2.4455819129943848,0.0542359985411167,619000.0,1.7495499849319458,3.5634989738464355,3208000.0,18.469690322875977,320000.0,1.8403249979019165,NaN
CIV,Cote d Ivoire,2008.0,0.0222079996019601,581000.0,1.1688400506973269,2.980385065078736,0.0601718015968799,652000.0,1.9410300254821773,3.343748092651367,2962000.0,15.190380096435549,696000.0,3.568406105041504,NaN
