mission,programme,libelle_programme,action,libelle_action,t_categorie,valeur
Aide publique au développement,209,Solidarité à l'égard des pays en développement,8,"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""",T2,215467624
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",7,"Personnels oeuvrant pour les politiques du programme ""Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer """,T2,659341440
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",25,Commission nationale du débat public,T3,530570
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,2,"Expertise, audit, évaluation et contrôle",T3,2077060
Gestion des finances publiques et des ressources humaines,221,Stratégie des finances publiques et modernisation de l'État,4,Modernisation de l'Etat,T6,230000
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,7,Réseau diplomatique,T6,155107
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,1,Prévention et gestion des risques inhérents à la production végétale,T5,-564013
Aide publique au développement,209,Solidarité à l'égard des pays en développement,3,Politiques et stratégies sectorielles bilatérales dans les pays de la ZSP et les PMA,T6,0
Culture,175,Patrimoines,1,Patrimoine monumental,T6,150609154
Défense,144,Environnement et prospective de la politique de défense,1,Analyse stratégique,T5,0
Justice,182,Protection judiciaire de la jeunesse,4,Formation (Ecole nationale de Protection judiciaire de la jeunesse),T2,22992945
Administration générale et territoriale de l'État,307,Administration territoriale,5,"Animation du réseau, soutien au service des préfectures et gestion des Hauts-Commissariats et représentations de l'Etat à l'Outre-mer",T3,44258807
"Anciens combattants, mémoire et liens avec la nation",169,Reconnaissance et réparation en faveur du monde combattant,4,Entretien des lieux de mémoire,T2,0
Culture,175,Patrimoines,8,Acquisition et enrichissement des collections publiques,T5,6407708
Économie,134,Développement des entreprises et de l'emploi,4,"Développement des télécommunications, des postes et de la société de l'information",T3,41598900
Enseignement scolaire,141,Enseignement scolaire public du second degré,1,Enseignement en collège,T5,0
Enseignement scolaire,230,Vie de l'élève,1,Vie scolaire et éducation à la responsabilité,T6,1381303454
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,15,Pilotage et support du programme,T5,0
Recherche et enseignement supérieur,190,"Recherche dans les domaines de l’énergie, du développement et de l'aménagement durables",10,Recherche dans le domaine de l'énergie,T3,647143598
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",2,"Statistiques, études et recherche",T3,10680315
Ville et logement,147,Politique de la ville et Grand Paris,5,Grand Paris,T3,0
Ville et logement,177,Prévention de l'exclusion et insertion des personnes vulnérables,4,Rapatriés,T6,0
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,7,Réseau diplomatique,T2,339114525
Aide publique au développement,301,Développement solidaire et migrations,1,Aides multilatérales de développement solidaire,T6,0
Défense,212,Soutien de la politique de la défense,9,Communication,T3,28079884
Économie,220,Statistiques et études économiques,1,Infrastructure statistique,T2,109149439
Enseignement scolaire,143,Enseignement technique agricole,1,Mise en oeuvre de l'enseignement dans les établissements publics,T2,604200406
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,1,Fiscalité des grandes entreprises,T2,62026711
Justice,107,Administration pénitentiaire,2,Accueil et accompagnement des personnes placées sous main de justice,T6,89797594
Recherche et enseignement supérieur,172,Recherches scientifiques et technologiques pluridisciplinaires,1,Pilotage et animation,T3,23828048
Recherche et enseignement supérieur,193,Recherche spatiale,5,Maîtrise des technologies orbitales et de l'innovation technologique,T6,97961613
Culture,131,Création,1,"Soutien à la création, à la production et à la diffusion du spectacle vivant",T2,0
Enseignement scolaire,141,Enseignement scolaire public du second degré,9,Formation continue des adultes et validation des acquis de l'expérience,T3,301422
Gestion des finances publiques et des ressources humaines,309,Entretien des bâtiments de l'État,1,Entretien immobilier,T5,117464009
Justice,166,Justice judiciaire,8,Support à l'accès au droit et à la justice,T5,0
Travail et emploi,111,Amélioration de la qualité de l'emploi et des relations du travail,1,Santé et sécurité au travail,T6,6353822
Recherche et enseignement supérieur,190,"Recherche dans les domaines de l’énergie, du développement et de l'aménagement durables",15,Charges nucléaires de long terme des installations du CEA,T3,169000000
"Écologie, développement et aménagement durables",181,Prévention des risques,11,"Gestion de l'après-mine et travaux de mise en sécurité, indemnisations et expropriations sur les sites",T5,-6269669
Engagements financiers de l'État,117,Charge de la dette et trésorerie de l'État (crédits évaluatifs),2,Dette non négociable,T4,1157917
Administration générale et territoriale de l'État,307,Administration territoriale,3,Contrôle de légalité et conseil aux collectivités territoriales,T2,175605777
"Agriculture, pêche, alimentation, forêt et affaires rurales",154,"Économie et développement durable de l'agriculture, de la pêche et des territoires",12,Gestion des crises et des aléas de la production,T6,111651333
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,2,"Expertise, audit, prévision, études",T5,0
Conseil et contrôle de l'État,164,Cour des comptes et autres juridictions financières,3,Conseil et expertise,T3,223314
Culture,131,Création,3,"Soutien à la création, à la production, à la diffusion et à la valorisation du livre et de la lecture",T3,0
Recherche et enseignement supérieur,186,Recherche culturelle et culture scientifique,3,Culture scientifique et technique,T3,114878950
Recherche et enseignement supérieur,193,Recherche spatiale,4,Maîtrise de l'accès à l'espace,T6,346883809
Action extérieure de l'État,332,Présidence française du G20 et du G8,5,"Organisation de réunions relevant de la compétence du ministère de l’économie, de l’industrie et de l’emploi",T3,8434851
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,10,Formation initiale et continue des enseignants,T2,94678478
Gestion des finances publiques et des ressources humaines,221,Stratégie des finances publiques et modernisation de l'État,4,Modernisation de l'Etat,T3,33339985
Justice,101,Accès au droit et à la justice,4,Médiation familiale et espaces de rencontre,T6,2745232
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,14,Immobilier,T6,3962508
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,15,Stratégie et soutien,T5,2509718
Justice,166,Justice judiciaire,7,Formation,T6,0
"Médias, livre et industries culturelles",334,Livre et industries culturelles,1,Livre et lecture,T6,31365012
Culture,131,Création,4,Économie des professions et des industries culturelles,T3,0
Économie,220,Statistiques et études économiques,1,Infrastructure statistique,T6,21293667
Enseignement scolaire,140,Enseignement scolaire public du premier degré,6,Pilotage et encadrement pédagogique,T6,35500
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",16,"Personnels oeuvrant pour les politiques du programme ""Prévention des risques""",T2,210178984
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,2,Enseignement élémentaire,T3,4031
Gestion des finances publiques et des ressources humaines,221,Stratégie des finances publiques et modernisation de l'État,4,Modernisation de l'Etat,T5,5231448
"Anciens combattants, mémoire et liens avec la nation",158,Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale,1,Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation,T3,153804
Justice,166,Justice judiciaire,8,Support à l'accès au droit et à la justice,T2,26733578
Justice,310,Conduite et pilotage de la politique de la justice,3,"Évaluation, contrôle, études et recherche",T2,11371595
Ville et logement,135,Développement et amélioration de l'offre de logement,3,Lutte contre l'habitat indigne,T7,1430
Aide publique au développement,209,Solidarité à l'égard des pays en développement,6,Aide humanitaire et alimentaire,T2,0
